figure,printed_panel,rect_mm,n_regions,confidence,note
Figure 3,C,"62.40,6.00,103.00,61.40",1,measured,"v2 layout 2026-09-14: y 6.4-50.4 -> 6.0-61.4; x 59.9-105.0 -> 62.4-103.0, narrowed 2026-09-14 to match its twin. "
Figure 3,B,"6.70,34.70,58.90,61.40",3,measured,"v2 layout 2026-09-14: y 29.4-52.3 -> 34.7-61.4; x 6.7-54.1 -> 6.7-58.9, narrowed 2026-09-14 to match its twin. "
Figure 3,E,"105.80,34.70,156.30,61.40",5,measured,"v2 layout 2026-09-14: y 30.3-52.1 -> 34.7-61.4; x 108.6-156.3 -> 105.8-156.3, narrowed 2026-09-14 to match its twin. "
Figure 3,J,"130.50,67.00,159.00,104.50",0,measured,"v2 layout 2026-09-14: y 55.1-87.2 -> 67.0-104.5; x 130.4-159.0 -> 130.5-159.0, narrowed 2026-09-14 to match its twin. given the piece by H"
Figure 3,H,"69.00,67.00,99.50,104.50",3,measured,"v2 layout 2026-09-14: y 55.3-86.3 -> 67.0-104.5; x 70.6-98.0 -> 69.0-99.5, narrowed 2026-09-14 to match its twin. the recorded x1 = 101.4 is panel I's letter x minus 1.0 and it sliced through I's tick labels, which start at x = 101.177; the recorded y1 = 87.2 is panel M's letter y minus 1.0. H's own ink ends at x = 97.959 and y = 86.275, with an empty gutter from 98.0 to 101.1. Nothing is orphaned: the 135 ink pixels between 98.0 and 101.4 are I's, and the corrected I rect takes them."
Figure 3,I,"101.00,67.00,129.50,104.50",1,measured,"v2 layout 2026-09-14: y 55.3-87.2 -> 67.0-104.5; x 101.1-130.2 -> 101.0-129.5, narrowed 2026-09-14 to match its twin. the recorded x0 = 101.6 clipped I's own leftmost tick labels, which begin at x = 101.177. The window stops at y = 87.3 so panel N's title, which begins at 87.291, cannot enter it."
Figure 3,F,"5.80,67.00,35.90,99.00",1,measured,v2 layout 2026-09-14: y 55.3-83.1 -> 67.0-99.0; x unchanged. 
Figure 3,G,"37.50,67.00,67.10,99.00",1,measured,v2 layout 2026-09-14: y 55.3-83.1 -> 67.0-99.0; x unchanged. 
Figure 3,K,"4.60,110.00,35.30,145.20",2,measured,v2 layout 2026-09-14: y 88.2-114.6 -> 110.0-145.2; x unchanged. split left of L
Figure 3,L,"35.50,110.00,68.70,145.20",0,measured,v2 layout 2026-09-14: y 88.2-114.6 -> 110.0-145.2; x unchanged. given the piece by K
Figure 3,M,"71.60,110.00,102.50,145.20",1,measured,"v2 layout 2026-09-14: y 88.2-115.1 -> 110.0-145.2; x unchanged. all four recorded edges were inherited through the split chain rather than measured. M's own footprint is its letter at (71.665, 88.227) and its ink 71.797-102.447 x 88.815-115.062 - the spatial plot and its colour bar. The recorded rect added 8.3 mm of height below the plot which contains zero ink pixels: that band is the depth of panel N's rotated x tick labels (Mo/Mac ... Plasma), which set the row's height, and M inherited it. It also added blank margin left, above and right."
Figure 3,N,"103.40,110.00,159.00,154.50",0,measured,v2 layout 2026-09-14: y 87.4-123.4 -> 110.0-154.5; x unchanged. given the piece by M
Figure 4,A,"12.00,7.00,132.10,104.00",2,measured,v2 layout 2026-09-14: y 6.9-101.2 -> 7.0-104.0; x unchanged. 
Figure 4,B,"133.10,7.00,154.90,104.00",5,measured,v2 layout 2026-09-14: y 6.9-101.2 -> 7.0-104.0; x unchanged. 
Figure 4,C,"11.30,109.00,42.30,152.00",3,measured,v2 layout 2026-09-14: y 105.1-144.3 -> 109.0-152.0; x unchanged. 
Figure 4,E,"45.80,109.00,160.70,152.00",9,measured,v2 layout 2026-09-14: y 105.1-144.3 -> 109.0-152.0; x unchanged. 
Figure 4,H,"139.00,154.00,163.70,214.00",4,measured,"v2 layout 2026-09-14: y 146.9-198.1 -> 154.0-214.0; x 135.1-163.7 -> 139.0-163.7, narrowed 2026-09-14 to match its twin. "
Figure 4,G,"99.90,154.00,138.50,214.00",3,measured,"v2 layout 2026-09-14: y 149.9-199.5 -> 154.0-214.0; x 97.8-134.5 -> 99.9-138.5, narrowed 2026-09-14 to match its twin. the recorded x1 = 135.6 and y0 = 149.2 were the left sliver of panel H's letter glyph, read out of G's dilated bounding slice by segment(). G's own ink ends at x = 134.493 with an 0.8 mm gap before H's glyph at 135.297, so G and H do not overlap; the 0.5 mm overlap was an artefact, not ink adjacency."
Figure 4,D,"11.40,154.00,57.40,214.00",1,measured,"v2 layout 2026-09-14: y 150.8-193.4 -> 154.0-214.0; x 11.4-44.9 -> 11.4-57.4, narrowed 2026-09-14 to match its twin. split left of F"
Figure 4,F,"57.90,154.00,99.40,214.00",5,measured,"v2 layout 2026-09-14: y 150.8-198.2 -> 154.0-214.0; x 45.1-95.8 -> 57.9-99.4, narrowed 2026-09-14 to match its twin. given the piece by D"
Figure 5,A,"7.40,5.00,65.00,48.00",2,measured,v2 layout 2026-09-14: y 4.7-45.3 -> 5.0-48.0; x unchanged. the recorded x0 = 6.3 sat 1.2 mm left of any of A's ink; that band is empty. A's leftmost printed ink is at x = 7.493 and its letter at 7.975.
Figure 5,B,"65.20,5.00,108.90,46.00",2,measured,"v2 layout 2026-09-14: y 4.7-45.3 -> 5.0-46.0; x 65.2-113.2 -> 65.2-108.9, narrowed 2026-09-14 to match its twin. given the piece by A"
Figure 5,C,"115.10,5.00,158.80,46.00",3,measured,v2 layout 2026-09-14: y 4.7-43.1 -> 5.0-46.0; x unchanged. 
Figure 5,D,"5.50,52.00,38.40,88.00",2,measured,v2 layout 2026-09-14: y 45.5-78.3 -> 52.0-88.0; x unchanged. given the piece by A; split above E; split left of F
Figure 5,H,"119.50,52.00,164.10,90.00",2,measured,v2 layout 2026-09-14: y 47.1-80.1 -> 52.0-90.0; x unchanged. split above I
Figure 5,G,"83.10,52.00,113.90,124.00",2,measured,v2 layout 2026-09-14: y 47.9-112.4 -> 52.0-124.0; x unchanged. 
Figure 5,F,"38.60,52.00,77.10,122.00",3,measured,"v2 layout 2026-09-14: y 48.1-109.7 -> 52.0-122.0; x unchanged. the recorded rect held only the top half of the panel. F is a 13 cell type x 4 cytokine dotplot with a legend beneath it, printed at x 39.709-77.047 y 49.191-109.601 with its letter at (39.436, 48.183); the recorded y1 = 78.3 cut 31.4 mm off its bottom, and the recorded y0 = 45.5 added 2.7 mm above its letter. An earlier pass measured x1 as 76.0 in a window that stopped at y = 78.4 and so saw only the narrower upper half; the recorded 77.1 was right and 76.0 was wrong. The window is bounded by panel A's axis title above (ends y 47.879), panel E left (ends x 37.380), panel G right (starts x 83.085) and panel J below (starts y 114.625). x0 is left at the 0.8 mm split offset, as elsewhere in this table."
Figure 5,E,"5.50,90.00,37.40,126.00",12,measured,"v2 layout 2026-09-14: y 78.5-112.0 -> 90.0-126.0; x unchanged. the recorded x1 = 77.1 put 39.7 mm of panel F inside panel E - the lower half of F's cytokine dotplot and the whole of its size and colour legend, which occupy x 47.921-77.047. E's own ink ends at x = 37.380 and there is a 10.5 mm column between them, x 37.391-39.719 continuing to 47.921, with zero ink in it. The window starts at y = 80.4, below the 1.06 mm gutter at y 79.271-80.329, so panel D's rotated tick labels cannot enter it. This and the Figure 5 F correction are one finding."
Figure 5,I,"119.50,94.00,164.10,128.00",2,measured,v2 layout 2026-09-14: y 80.3-109.9 -> 94.0-128.0; x unchanged. given the piece by H
Figure 5,J,"2.80,130.00,89.60,165.00",9,measured,v2 layout 2026-09-14: y 114.6-143.3 -> 130.0-165.0; x unchanged. split left of K
Figure 5,K,"89.80,130.00,112.00,166.50",2,measured,"v2 layout 2026-09-14: y 114.6-143.3 -> 130.0-166.5; x 89.8-112.3 -> 89.8-112.0, narrowed 2026-09-14 to match its twin. given the piece by J"
Figure 5,L,"113.50,130.00,134.50,165.00",1,measured,"v2 layout 2026-09-14: y 114.7-143.3 -> 130.0-165.0; x 115.2-133.7 -> 113.5-134.5, narrowed 2026-09-14 to match its twin. "
Figure 5,M,"136.00,130.00,160.40,166.50",3,measured,"v2 layout 2026-09-14: y 114.7-142.2 -> 130.0-166.5; x 136.8-160.4 -> 136.0-160.4, narrowed 2026-09-14 to match its twin. "
Figure 5,N,"2.80,168.00,158.80,204.00",26,measured,v2 layout 2026-09-14: y 145.0-175.3 -> 168.0-204.0; x unchanged. 
