figure,printed_panel,rect_mm,n_regions,confidence,note
Figure 5,F,"38.6,48.1,77.1,109.7",3,measured,"the recorded rect held only the top half of the panel. F is a 13 cell type x 4 cytokine dotplot with a legend beneath it, printed at x 39.709-77.047 y 49.191-109.601 with its letter at (39.436, 48.183); the recorded y1 = 78.3 cut 31.4 mm off its bottom, and the recorded y0 = 45.5 added 2.7 mm above its letter. An earlier pass measured x1 as 76.0 in a window that stopped at y = 78.4 and so saw only the narrower upper half; the recorded 77.1 was right and 76.0 was wrong. The window is bounded by panel A's axis title above (ends y 47.879), panel E left (ends x 37.380), panel G right (starts x 83.085) and panel J below (starts y 114.625). x0 is left at the 0.8 mm split offset, as elsewhere in this table."
Figure 5,E,"5.5,78.5,37.4,112.0",12,measured,"the recorded x1 = 77.1 put 39.7 mm of panel F inside panel E - the lower half of F's cytokine dotplot and the whole of its size and colour legend, which occupy x 47.921-77.047. E's own ink ends at x = 37.380 and there is a 10.5 mm column between them, x 37.391-39.719 continuing to 47.921, with zero ink in it. The window starts at y = 80.4, below the 1.06 mm gutter at y 79.271-80.329, so panel D's rotated tick labels cannot enter it. This and the Figure 5 F correction are one finding."
Figure 5,I,"119.5,80.3,164.1,109.9",2,measured,given the piece by H
Figure 5,J,"2.8,114.6,89.6,143.3",9,measured,split left of K
Figure 5,K,"89.8,114.6,112.3,143.3",2,measured,given the piece by J
Figure 5,L,"115.2,114.7,133.7,143.3",1,measured,
Figure 5,M,"136.8,114.7,160.4,142.2",3,measured,
Figure 5,N,"2.8,145.0,158.8,175.3",26,measured,
Figure 6,,,,schematic,"drawn by hand; any uppercase glyph is artwork, not a panel letter"
S1_QC_Annotation,A,"0.5,2.7,182.5,41.1",5,measured,
S1_QC_Annotation,B,"1.2,46.2,173.7,82.8",4,measured,
S1_QC_Annotation,C,"1.4,84.9,178.1,120.5",5,measured,
S1_QC_Annotation,D,"1.6,124.3,92.1,167.6",3,measured,
S1_QC_Annotation,E,"100.2,124.4,161.0,167.4",3,measured,
S1_QC_Annotation,G,"92.2,174.1,147.8,211.6",3,measured,
S1_QC_Annotation,F,"3.7,175.0,88.0,215.0",2,measured,
S1_QC_Annotation,H,"7.0,217.0,152.3,260.4",3,measured,
S2_CEACAM_Metaprogram_Validation,A,"1.7,13.2,181.4,74.2",92,measured,
S2_CEACAM_Metaprogram_Validation,C,"59.1,79.9,115.4,135.5",9,measured,given the piece by B
S2_CEACAM_Metaprogram_Validation,D,"118.1,79.9,180.1,133.9",2,measured,
S2_CEACAM_Metaprogram_Validation,B,"2.9,80.0,58.9,135.5",9,measured,split left of C
S2_CEACAM_Metaprogram_Validation,E,"6.1,140.1,175.8,192.8",2,measured,
S2_CEACAM_Metaprogram_Validation,G,"68.3,200.3,172.7,252.1",5,measured,
S2_CEACAM_Metaprogram_Validation,F,"5.9,200.7,52.5,248.8",5,measured,
S3_CD8_TCells,A,"1.7,12.0,181.5,70.4",111,measured,
S3_CD8_TCells,B,"0.5,70.8,58.5,125.7",2,measured,
S3_CD8_TCells,C,"60.6,71.7,120.5,125.7",1,measured,
S3_CD8_TCells,D,"123.1,72.1,182.5,125.7",1,measured,
S4_Spatial_Validation,A,"0.3,0.8,89.7,40.8",3,measured,
S4_Spatial_Validation,B,"93.3,1.1,182.4,40.8",3,measured,
S4_Spatial_Validation,C,"0.3,46.7,89.4,87.1",3,measured,
S4_Spatial_Validation,D,"93.2,47.5,182.5,87.0",3,measured,
S4_Spatial_Validation,E,"0.3,93.1,89.4,133.2",3,measured,
S4_Spatial_Validation,F,"93.3,95.2,182.2,132.5",3,measured,
S5_Immune_Modules,A,"0.6,0.3,58.5,52.7",6,measured,
S5_Immune_Modules,B,"62.0,0.3,120.5,52.7",6,measured,
S5_Immune_Modules,C,"124.7,0.6,182.5,52.7",6,measured,
S5_Immune_Modules,E,"62.0,55.9,120.5,109.2",5,measured,
S5_Immune_Modules,D,"0.6,55.9,58.5,109.2",7,measured,
S6_CD274_Remaining,A,"0.5,0.1,34.5,49.7",5,measured,
S6_CD274_Remaining,B,"37.6,0.1,71.6,49.7",5,measured,
S6_CD274_Remaining,C,"74.5,0.1,108.6,49.7",4,measured,
S6_CD274_Remaining,D,"111.5,0.1,145.5,49.7",5,measured,
S6_CD274_Remaining,E,"148.6,0.1,182.6,49.7",4,measured,
S6_CD274_Remaining,I,"111.5,51.8,145.5,102.0",4,measured,
S6_CD274_Remaining,F,"0.5,52.2,34.5,102.0",4,measured,
S6_CD274_Remaining,G,"37.6,52.2,71.6,102.0",5,measured,
S6_CD274_Remaining,H,"74.5,52.2,108.6,102.0",4,measured,
